Variant,Score,ScoreDiff,Probability,Generation
C,1.25,-0.25,0.00656082462135,38108
C,1.25,-0.25,0.00656082462135,38109
C,1.25,-0.25,0.00656082462135,38110
C,1.25,-0.1,0.0422072504131,38111
C,1.25,-0.1,0.0422072504131,38112
C,1.25,-0.25,0.00656082462135,38113
C,1.25,-0.1,0.0422072504131,38114
C,1.25,-0.1,0.0422072504131,38115
C,1.25,-0.1,0.0422072504131,38116
C,1.25,-0.25,0.00656082462135,38117
C,1.25,-0.25,0.00656082462135,38118
C,1.25,-0.25,0.00656082462135,38119
C,1.25,-0.1,0.0422072504131,38120
C,1.25,-0.25,0.00656082462135,38121
C,1.25,-0.25,0.00656082462135,38122
C,1.25,-0.25,0.00656082462135,38123
C,1.25,-0.25,0.00656082462135,38124
C,1.25,-0.25,0.00656082462135,38125
B,1.15,0.0,0.0422072504131,38126
B,1.15,0.1,0.18932421675,38127
B,1.15,-0.15,0.0209871613723,38128
B,1.15,-0.15,0.0209871613723,38129
B,1.15,-0.15,0.0209871613723,38130
B,1.15,-0.15,0.0209871613723,38131
B,1.15,-0.15,0.0209871613723,38132
B,1.15,0.1,0.18932421675,38133
B,1.15,0.1,0.18932421675,38134
B,1.15,-0.15,0.0209871613723,38135
B,1.15,-0.15,0.0209871613723,38136
B,1.15,0.1,0.18932421675,38137
C,1.25,0.0,0.18932421675,38138
C,1.25,-0.1,0.0422072504131,38139
C,1.25,-0.25,0.00656082462135,38140
C,1.25,-0.1,0.0422072504131,38141
C,1.25,-0.1,0.0422072504131,38142
C,1.25,-0.1,0.0422072504131,38143
C,1.25,-0.25,0.00656082462135,38144
C,1.25,-0.25,0.00656082462135,38145
C,1.25,-0.25,0.00656082462135,38146
C,1.25,-0.1,0.0422072504131,38147
C,1.25,-0.25,0.00656082462135,38148
C,1.25,-0.1,0.0422072504131,38149
C,1.25,-0.1,0.0422072504131,38150
C,1.25,-0.25,0.00656082462135,38151
C,1.25,-0.25,0.00656082462135,38152
C,1.25,-0.1,0.0422072504131,38153
C,1.25,-0.25,0.00656082462135,38154
C,1.25,-0.1,0.0422072504131,38155
C,1.25,-0.1,0.0422072504131,38156
C,1.25,-0.25,0.00656082462135,38157
C,1.25,-0.25,0.00656082462135,38158
C,1.25,-0.25,0.00656082462135,38159
C,1.25,-0.1,0.0422072504131,38160
C,1.25,-0.1,0.0422072504131,38161
C,1.25,-0.25,0.00656082462135,38162
C,1.25,-0.1,0.0422072504131,38163
C,1.25,-0.25,0.00656082462135,38164
C,1.25,-0.25,0.00656082462135,38165
C,1.25,-0.25,0.00656082462135,38166
C,1.25,-0.1,0.0422072504131,38167
C,1.25,-0.25,0.00656082462135,38168
C,1.25,-0.1,0.0422072504131,38169
C,1.25,-0.1,0.0422072504131,38170
C,1.25,-0.25,0.00656082462135,38171
C,1.25,-0.1,0.0422072504131,38172
B,1.15,0.0,0.0422072504131,38173
B,1.15,-0.15,0.0209871613723,38174
B,1.15,0.1,0.18932421675,38175
B,1.15,0.1,0.18932421675,38176
C,1.25,0.0,0.18932421675,38177
C,1.25,-0.1,0.0422072504131,38178
C,1.25,-0.25,0.00656082462135,38179
C,1.25,-0.25,0.00656082462135,38180
C,1.25,-0.25,0.00656082462135,38181
A,1,0,0.00656082462135,38182
A,1,0.15,0.259725641869,38183
A,1,0.15,0.259725641869,38184
C,1.25,0.0,0.364198927758,38185
C,1.25,-0.1,0.0422072504131,38186
C,1.25,-0.25,0.00656082462135,38187
C,1.25,-0.1,0.0422072504131,38188
C,1.25,-0.1,0.0422072504131,38189
C,1.25,-0.25,0.00656082462135,38190
C,1.25,-0.1,0.0422072504131,38191
C,1.25,-0.25,0.00656082462135,38192
C,1.25,-0.25,0.00656082462135,38193
C,1.25,-0.25,0.00656082462135,38194
C,1.25,-0.25,0.00656082462135,38195
C,1.25,-0.1,0.0422072504131,38196
C,1.25,-0.1,0.0422072504131,38197
C,1.25,-0.25,0.00656082462135,38198
C,1.25,-0.25,0.00656082462135,38199
C,1.25,-0.25,0.00656082462135,38200
